                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4882,                 1.5066,                 1.6316,                0.54783,                0.50911,                0.52565,                0.23732,                 1.8999,                 1.7662,                 1.9953,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.4835,                 1.5149,                 1.6401,                0.47513,                0.55239,                0.51283,                0.22058,                 1.9538,                 1.8688,                 2.0368,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.4732,                 1.4787,                 1.6237,                0.58118,                0.53132,                0.52105,                0.24022,                 1.9346,                 1.7911,                 2.0449,             0.00081688,             0.00081688,             0.00081688
                     37,                  1.469,                 1.4407,                 1.6016,                0.61016,                0.57747,                 0.5765,                 0.2704,                 1.9177,                 1.7113,                 1.9894,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.4353,                 1.4374,                 1.5992,                0.60504,                0.56498,                0.55891,                0.26332,                 1.8612,                 1.7772,                 1.9959,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.4283,                 1.4007,                 1.5755,                0.54913,                0.51826,                0.52635,                0.25096,                 1.8783,                 1.7921,                 2.0053,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.4348,                 1.3998,                 1.5757,                0.58421,                0.53752,                0.54749,                0.26376,                 1.9101,                 1.8064,                 2.0283,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.4124,                 1.3797,                 1.5598,                0.61981,                0.50484,                0.56245,                0.26213,                 1.8912,                 1.6832,                 1.9654,               0.000755,               0.000755,               0.000755
                     42,                 1.3867,                 1.3285,                  1.533,                 0.5885,                0.56197,                0.55496,                0.26264,                 1.8864,                 1.7648,                 2.0067,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.3783,                 1.3171,                 1.5365,                0.57521,                0.55995,                0.56099,                0.27968,                 1.8697,                 1.7379,                 2.0159,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.3825,                 1.3334,                 1.5317,                0.61024,                  0.548,                0.55787,                 0.2704,                 1.9158,                 1.8019,                 1.9946,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.3663,                 1.2642,                 1.5151,                0.58266,                0.59641,                0.57289,                0.27978,                 1.8485,                  1.659,                 1.9749,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.3393,                 1.2541,                 1.4952,                 0.6752,                0.55525,                0.58626,                0.28846,                 1.8787,                 1.6713,                 1.9844,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.3374,                 1.2374,                 1.4963,                0.62562,                0.55682,                0.57326,                0.27543,                 1.9384,                 1.6964,                 2.0512,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.3456,                 1.2371,                 1.5178,                0.64295,                0.58151,                0.58823,                0.28623,                 1.9083,                 1.6661,                 2.0182,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.3059,                 1.1847,                  1.467,                0.62176,                0.57514,                0.58838,                0.29053,                 1.8803,                 1.6315,                 2.0199,               0.000656,               0.000656,               0.000656
                     50,                 1.2895,                  1.179,                 1.4624,                0.61893,                0.57217,                0.60489,                0.30043,                 1.8924,                  1.666,                 2.0189,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.2894,                 1.1882,                 1.4532,                 0.7005,                0.56993,                0.62487,                0.32812,                 1.8037,                 1.5267,                 1.9525,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.2984,                 1.1781,                 1.4612,                0.64881,                0.55722,                0.59587,                0.28975,                 1.9253,                 1.5989,                 2.0551,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.2797,                 1.1474,                 1.4403,                0.64936,                0.62361,                0.63377,                0.31084,                 1.8696,                 1.5654,                  2.003,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.2758,                  1.149,                 1.4406,                0.73503,                0.56398,                0.62073,                0.32074,                 1.8261,                 1.5557,                   1.98,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.2653,                 1.1146,                 1.4228,                0.66458,                0.59268,                0.59471,                0.29904,                 1.9076,                 1.5792,                   2.02,             0.00058175,             0.00058175,             0.00058175
